番号,ゲーム名,課題,旧S(12),新s(28),エントリ段,判定年齢,判定根拠,世界水準🌐
H065,えをきごうにかえよう,09 基礎概念,S8,s17〜s18,s17,4歳0〜5か月,記号変換/符号化,🌐
H066,おはなしクイズ,03 絵本暗唱,S8,s17〜s18,s17,4歳0〜5か月,お話を聞いて質問,
H067,くねくねみちをなぞろう,26 巧緻性,S6,s13〜s14,s13,3歳0〜5か月,くねくね道なぞり,
H068,おとのポスト,18 文字,S8,s17〜s18,s17,4歳0〜5か月,頭音の分類/音韻,🌐
H069,かなカードでことば,18 文字,S8,s17〜s18,s17,4歳0〜5か月,かな並べ語構成3音,🌐
H070,シルエットライト,12 探索,S6,s13〜s14,s13,3歳0〜5か月,影で推測3択,
H071,どちらがたりない,17 数,S7,s15〜s16,s15,3歳6〜11か月,1対1対応・配り4v3,🌐
H072,きごうでぬりわけ,09 基礎概念,S7,s15〜s16,s15,3歳6〜11か月,記号で塗り分け6,🌐
H073,しきメーカー,17 数,S9,s19〜s20,s19,4歳6〜11か月,2+3集めて計数,🌐
H074,おぼえてかくす,23 記憶,S7,s15〜s16,s15,3歳6〜11か月,3つ記憶どれ隠れ,
H075,やじるしロボット,09 基礎概念,S9,s19〜s20,s19,4歳6〜11か月,矢印命令/系列空間,🌐
H076,つみきタワー,10 形図形,S7,s15〜s16,s15,3歳6〜11か月,見本タワー下から3,🌐
H077,いくつといくつマシン,17 数,S10,s21〜s22,s21,5歳0〜5か月,7にあといくつ/分解,🌐
H078,10のたばカウンター,17 数,S11,s23〜s24,s23,5歳6〜11か月,10の束で13/位取り,🌐
H079,とけいをあわせよう,17 数,S10,s21〜s22,s21,5歳0〜5か月,とけい合わせ,🌐
H080,おはなしをきいてえらぶ,03 絵本暗唱,S7,s15〜s16,s15,3歳6〜11か月,聞いて属性で特定4択,
H081,ちいさいっのおと,18 文字,S9,s19〜s20,s19,4歳6〜11か月,促音きて/きって音韻,🌐
H082,ますぬりモザイク,10 形図形,S7,s15〜s16,s15,3歳6〜11か月,方眼ぬり写し10,🌐
H083,てんびんバランス,17 数,S10,s21〜s22,s21,5歳0〜5か月,てんびん4+3=7たし算,🌐
H084,10にしてからけいさん,17 数,S11,s23〜s24,s23,5歳6〜11か月,9+4 10にして繰上,🌐
H085,ひょうとグラフ,17 数,S10,s21〜s22,s21,5歳0〜5か月,表とグラフ読み,🌐
H086,かんじパーツこうじょう,18 文字,S11,s23〜s24,s23,5歳6〜11か月,漢字パーツ合成,🌐
H087,レイヤーじゅんばん,10 形図形,S7,s15〜s16,s15,3歳6〜11か月,レイヤー順3,🌐
H088,おはなししき,17 数,S10,s21〜s22,s21,5歳0〜5か月,3+2文章題で式,🌐
H089,おかねショップ,17 数,S11,s23〜s24,s23,5歳6〜11か月,15円を硬貨で合成,🌐
H090,まほうのすうじパズル,09 基礎概念,S10,s21〜s22,s21,5歳0〜5か月,3x3数独1-2-3,🌐
H091,どこからみたかな,10 形図形,S9,s19〜s20,s19,4歳6〜11か月,視点/上から見る,🌐
H092,みずのへんかんラボ,09 基礎概念,S9,s19〜s20,s19,4歳6〜11か月,水位予測/理科,🌐
H093,じょしスロット,16 擬音語,S9,s19〜s20,s19,4歳6〜11か月,助詞うめ/文法,
H094,そろばんだまカウンター,24 そろばん,S11,s23〜s24,s23,5歳6〜11か月,そろばん123位取り,🌐
H095,ひょうしきレスキュー,14 SST,S8,s17〜s18,s17,4歳0〜5か月,標識選び/社会,
H096,はんぶんかくれたえ,12 探索,S7,s15〜s16,s15,3歳6〜11か月,半分隠れ推測,
H097,なかまのわ,09 基礎概念,S8,s17〜s18,s17,4歳0〜5か月,分類ベン3,🌐
H098,りゆうをえらぼう,09 基礎概念,S6,s13〜s14,s13,3歳0〜5か月,多い方5v3比較,🌐
H099,せんでつなぐペアマッチ,09 基礎概念,S7,s15〜s16,s15,3歳6〜11か月,一緒に使う対連想,🌐
H100,からだまねっこ,25 動作模倣,S7,s15〜s16,s15,3歳6〜11か月,ポーズ模倣,
H101,にがめんくらべ,20 直観像,S7,s15〜s16,s15,3歳6〜11か月,違い3つ探し,
H102,たりないぶひん,09 基礎概念,S6,s13〜s14,s13,3歳0〜5か月,欠け部品補完,🌐
H103,かなひょうスキャン,18 文字,S8,s17〜s18,s17,4歳0〜5か月,かな表スキャン,🌐
H104,おちたすうじ,17 数,S8,s17〜s18,s17,4歳0〜5か月,数列1-8欠落復元,🌐
H105,もちものパッキング,28 生活動作,S7,s15〜s16,s15,3歳6〜11か月,雨の日持ち物順序,
H106,おとのかずわけ,18 文字,S8,s17〜s18,s17,4歳0〜5か月,音数かぞえ/モーラ,🌐
H107,おとのほうこう,13 聞く,S6,s13〜s14,s13,3歳0〜5か月,音の方向/聞く,
H108,くらべるメーター,09 基礎概念,S7,s15〜s16,s15,3歳6〜11か月,長さ順3/系列,🌐
H109,みえないつみき,10 形図形,S9,s19〜s20,s19,4歳6〜11か月,見えない積木数え,🌐
H110,サイコロめメーカー,17 数,S7,s15〜s16,s15,3歳6〜11か月,サイコロ目づくり計数,🌐
H111,すうじのせんろ,17 数,S7,s15〜s16,s15,3歳6〜11か月,数を駅へ並べ,🌐
H112,みちじゅんよみ,10 形図形,S7,s15〜s16,s15,3歳6〜11か月,道順3カード,🌐
H113,てんてんまるへんしん,18 文字,S8,s17〜s18,s17,4歳0〜5か月,濁点へんしん音韻,🌐
H114,むきクイズ,10 形図形,S8,s17〜s18,s17,4歳0〜5か月,後ろ向きどれ/向き,🌐
H115,かたちのなかま,09 基礎概念,S8,s17〜s18,s17,4歳0〜5か月,2条件で分類,🌐
H116,おみせでかいもの,14 SST,S7,s15〜s16,s15,3歳6〜11か月,買い物リスト順序数量,
H117,みずのりょうくらべ,09 基礎概念,S9,s19〜s20,s19,4歳6〜11か月,水の量保存/思考,🌐
H118,ひみつのじょうけんカード,09 基礎概念,S9,s19〜s20,s19,4歳6〜11か月,3条件カード,🌐
H119,どれだけおもい,09 基礎概念,S8,s17〜s18,s17,4歳0〜5か月,てんびん重さ比較,🌐
H120,しきのへんしん,17 数,S10,s21〜s22,s21,5歳0〜5か月,2+3=5式へんしん,🌐
H121,とけいスケジュール,17 数,S10,s21〜s22,s21,5歳0〜5か月,時刻スケジュール,🌐
H122,すうひょうたからさがし,17 数,S10,s21〜s22,s21,5歳0〜5か月,数表1-12規則,🌐
H123,ルーレットひょう,09 基礎概念,S9,s19〜s20,s19,4歳6〜11か月,ルーレット記録/データ,🌐
H124,カタカナへんしん,18 文字,S10,s21〜s22,s21,5歳0〜5か月,カタカナへんしん,🌐
H125,ルールへんかんマシン,09 基礎概念,S9,s19〜s20,s19,4歳6〜11か月,白→黒関数マシン,🌐
H126,ぶんすうピザ,17 数,S12,s25〜s26,s25,6歳0〜11か月,分数1/4,🌐
H127,ちずミッション,09 基礎概念,S8,s17〜s18,s17,4歳0〜5か月,順序づけ条件いってから,🌐
H128,どちらもあてはまる,09 基礎概念,S9,s19〜s20,s19,4歳6〜11か月,二重分類表,🌐
H129,きりくちラボ,10 形図形,S10,s21〜s22,s21,5歳0〜5か月,立体の断面3D,🌐
H130,りったいミュージアム,10 形図形,S9,s19〜s20,s19,4歳6〜11か月,立体の性質転がる/積む,🌐
H131,じしゃくぴったり,09 基礎概念,S9,s19〜s20,s19,4歳6〜11か月,磁石N/S理科,🌐
H132,ものさしセンチ,17 数,S10,s21〜s22,s21,5歳0〜5か月,ものさしcm測定,🌐
H133,かげのじかん,09 基礎概念,S8,s17〜s18,s17,4歳0〜5か月,影と時間/聞く,🌐
H134,あみだのせんろ,09 基礎概念,S8,s17〜s18,s17,4歳0〜5か月,あみだ経路,🌐
H135,ぼうでかたちづくり,10 形図形,S7,s15〜s16,s15,3歳6〜11か月,棒で形づくり,🌐
H136,ピクセルえこうぼう,17 数,S8,s17〜s18,s17,4歳0〜5か月,数だけ塗るピクセル,🌐
H137,からだのどこ,08 事物名称,S6,s13〜s14,s13,3歳0〜5か月,体の部位名,
H138,カレンダーたんけん,17 数,S10,s21〜s22,s21,5歳0〜5か月,カレンダー曜日,🌐
H139,すうじピラミッド,17 数,S10,s21〜s22,s21,5歳0〜5か月,足し算ピラミッド,🌐
H140,なかよくわけよう,17 数,S9,s19〜s20,s19,4歳6〜11か月,6を2人で等分,🌐
H141,たべものチェーン,09 基礎概念,S8,s17〜s18,s17,4歳0〜5か月,食物連鎖の順序,🌐
H142,おもさならべ,09 基礎概念,S8,s17〜s18,s17,4歳0〜5か月,重さ順シーソー推論,🌐
H143,いろのかんじセンサー,09 基礎概念,S6,s13〜s14,s13,3歳0〜5か月,色と言葉マッチ,🌐
H144,ことばクロス,18 文字,S10,s21〜s22,s21,5歳0〜5か月,言葉クロス9マス,🌐
H145,きいておしてだくおん,18 文字,S8,s17〜s18,s17,4歳0〜5か月,濁音ばさがし,🌐
H146,えとおとをつなごう,18 文字,S8,s17〜s18,s17,4歳0〜5か月,絵と頭音つなぎ,🌐
H147,ひらがなカタカナペア,18 文字,S10,s21〜s22,s21,5歳0〜5か月,ひらカタペア,🌐
H148,ちいさいやゆよ,18 文字,S9,s19〜s20,s19,4歳6〜11か月,拗音ゃゅょ,🌐
H149,にているもじ,18 文字,S8,s17〜s18,s17,4歳0〜5か月,似た字ぬめね弁別,🌐
H150,おはなのかぞえうた,17 数,S6,s13〜s14,s13,3歳0〜5か月,花を数える計数,🌐
H151,10とびのかいだん,17 数,S11,s23〜s24,s23,5歳6〜11か月,10とび/スキップ計数,🌐
H152,ひとつふえるへる,17 数,S7,s15〜s16,s15,3歳6〜11か月,1ふえる/へる,🌐
H153,どっちがおおい,17 数,S6,s13〜s14,s13,3歳0〜5か月,どっち多い比較,🌐
H154,ぱっとみていくつ,17 数,S6,s13〜s14,s13,3歳0〜5か月,瞬間計数/subitize,🌐
H155,10のたまごケース,17 数,S9,s19〜s20,s19,4歳6〜11か月,10の卵あといくつ,🌐
H156,5をつくろう,17 数,S8,s17〜s18,s17,4歳0〜5か月,5の合成,🌐
H157,すむーじーづくり,17 数,S6,s13〜s14,s13,3歳0〜5か月,レシピ通り計数,🌐
H158,へったらいくつ,17 数,S9,s19〜s20,s19,4歳6〜11か月,5-2ひき算,🌐
H159,かたちこうじょう,10 形図形,S7,s15〜s16,s15,3歳6〜11か月,形を設計図にはめ,🌐
H160,うえしたなかそと,09 基礎概念,S6,s13〜s14,s13,3歳0〜5か月,上下中外位置語,🌐
H161,きっておってつくろう,26 巧緻性,S6,s13〜s14,s13,3歳0〜5か月,線をなぞって切る,
H162,おぼえてならべよう,23 記憶,S8,s17〜s18,s17,4歳0〜5か月,3品位置を記憶,
H163,はんぶんミラー,10 形図形,S7,s15〜s16,s15,3歳6〜11か月,鏡で右半分,🌐
H164,かげからみつけよう,12 探索,S7,s15〜s16,s15,3歳6〜11か月,影で推測ぞう,
H165,カレンダーできたよ,17 数,S9,s19〜s20,s19,4歳6〜11か月,カレンダー10日,🌐
H166,ひょうをつくろう,17 数,S8,s17〜s18,s17,4歳0〜5か月,果物数えて表に,🌐
H167,おはなしじゅんばん,03 絵本暗唱,S7,s15〜s16,s15,3歳6〜11か月,3コマ物語の順序,
